[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842600357.39223,10/05/2021,2:02 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842600520.58284,299.999206542969,69999.828125,-0.000415030383638286,7.89838896115516E-7,1,10,13.3016452789307,8.00910964756253,32.3100015521049,-0.816438903832088,-0.122393064574207,1,-1.08611871003285E-6,,,,,,,,,,,,,,,,,,,,,299.999206542969,299.999206542969,69999.828125,69999.828125,54.241111092025,5.60531783976765,9.59065818786621,133,1,0,0,1,0.469207763671875,31.2805480957031,1,1,1,299.999206542969,0,742395904,299.999206542969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600539.91415,299.999114990234,69999.8359375,-0.000414905993143603,7.96816145765023E-7,1,10,13.3016452789307,8.00918685751594,32.3100015521049,-0.816229036743908,-0.12215014898166,1,-9.80664489346742E-7,,,,,,,,,,,,,,,,,,,,,299.998992919922,299.999237060547,69999.8359375,69999.8359375,54.4767720905731,5.60535788856239,9.59666919708252,133,1,0,0,1,0.46539306640625,32.2580642700195,1,1,1,299.998992919922,0,742397120,299.999114990234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600587.14118,299.999252319336,55875.296875,-0.000330518431634763,9.82956767835319E-7,1,10,13.3016452789307,8.00903636175388,32.3100015521049,-0.650178936101185,-0.0975144052034229,1,-8.87583907903319E-7,,,,,,,,,,,,,,,,,,,,,299.999176025391,299.999328613281,55875.296875,55875.296875,54.6045683534673,5.60549397498831,9.58353805541992,133,1,0,0,1,0.472793579101562,32.7468223571777,1,1,1,299.999328613281,0,742397024,299.999252319336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600630.25992,300.000152587891,44600.453125,-0.000263295777525555,9.26620050606257E-7,1,10,13.3016452789307,8.00906715496952,32.3100015521049,-0.517940858698188,-0.0776966341112629,1,-7.14724266727582E-7,,,,,,,,,,,,,,,,,,,,,299.999847412109,300.000457763672,44600.453125,44600.453125,54.6194192953327,5.60609703787619,9.58669281005859,133,1,0,0,1,0.469741821289063,32.7468223571777,1,1,1,299.999847412109,0,742396960,300.000152587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600672.11754,299.999771118164,35600.8203125,-0.000209635574754069,5.91266741584603E-7,1,10,13.3016452789307,8.00898908039341,32.3100015521049,-0.412374360233135,-0.0619083611648759,1,-5.92838638220208E-7,,,,,,,,,,,,,,,,,,,,,299.999664306641,299.999877929687,35600.8203125,35600.8203125,54.6999270328135,5.60581938067871,9.59144878387451,133,1,0,0,1,0.472793579101562,33.2355842590332,1,1,1,299.999877929687,0,742397024,299.999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600711.60502,300.000137329102,28417.01171875,-0.000166713747066052,4.01586146550789E-7,1,10,13.3016452789307,8.00904825427054,32.3100015521049,-0.327977041671338,-0.0490096319531162,1,-3.57883554509944E-7,,,,,,,,,,,,,,,,,,,,,300.000122070313,300.000152587891,28417.01171875,28417.01171875,54.8355395809,5.60597663260399,9.58341789245606,133,1,0,0,1,0.467758178710937,33.7243423461914,1,1,1,300.000152587891,0,742397056,300.000137329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600749.02681,299.999771118164,22682.90625,-0.00013256668715354,2.98591386313568E-7,1,10,13.3016452789307,8.00893248579409,32.3100015521049,-0.260786945726273,-0.039040687271315,1,-3.200195949992E-7,,,,,,,,,,,,,,,,,,,,,299.999450683594,300.000091552734,22682.90625,22682.90625,54.8492180799866,5.60633899595918,9.58509540557861,133,1,0,0,1,0.472946166992188,33.2355842590332,1,1,1,299.999450683594,0,742397056,299.999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600782.72575,300.000183105469,18105.90234375,-0.000105269520532048,2.40969733855864E-7,1,10,13.3016452789307,8.008935874907,32.3100015521049,-0.207095866884125,-0.0309458864089031,1,-2.25751206302331E-7,,,,,,,,,,,,,,,,,,,,,299.999725341797,300.000640869141,18105.90234375,18105.90234375,54.9734970145443,5.60665581874932,9.57730484008789,133,1,0,0,1,0.467681884765625,33.7243423461914,1,1,1,299.999725341797,0,742397088,300.000183105469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600814.35881,300.00032043457,14452.5986328125,-8.34467127513498E-5,1.85108586273255E-7,1,10,13.3016452789307,8.00882486472326,32.3100015521049,-0.164159341420358,-0.0245537846987094,1,-1.90790885384335E-7,,,,,,,,,,,,,,,,,,,,,299.999969482422,300.000671386719,14452.5986328125,14452.5986328125,54.8570343651789,5.60722523251913,9.57722091674805,133,1,0,0,1,0.466384887695313,33.7243423461914,1,1,1,300.000671386719,0,742397152,300.00032043457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842600846.45623,299.999923706055,11536.1572265625,-6.60737502691187E-5,1.49795457217175E-7,1,10,13.3016452789307,8.00886191965202,32.3100015521049,-0.129985721407391,-0.0194232100243946,1,-1.41559113826142E-7,,,,,,,,,,,,,,,,,,,,,299.999633789063,300.000213623047,11536.1572265625,11536.1572265625,54.8980698624385,5.60650380854565,9.58440780639648,133,1,0,0,1,0.466079711914063,34.2131004333496,1,1,1,300.000213623047,0,742397280,299.999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
