[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842610207.97435,10/05/2021,4:46 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842610287.61544,3.00011849403381,69999.65625,-0.000381794452214633,8.30753817113606E-7,1,10,13.3016452789307,7.99478914174203,31.360000371933,-0.750359624210114,-0.112133947071922,1,-8.23406970795342E-7,,,,,,,,,,,,,,,,,,,,,3.00011849403381,3.00011849403381,69999.65625,69999.65625,56.0533168138617,5.61937629071992,4.54297924041748,133,1,0,0,1,0.474700927734375,32.2580642700195,1,1,1,3.00011849403381,0,742397056,3.00011849403381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610306.8912,3.00063407421112,69999.59375,-0.000381789697349256,8.26062029310716E-7,1,10,13.3016452789307,7.99468375066493,31.360000371933,-0.750313634633326,-0.112342993478981,1,-9.30861043299157E-7,,,,,,,,,,,,,,,,,,,,,3.00035905838013,3.00090909004211,69999.59375,69999.59375,55.807103830304,5.61857497173293,4.54970264434814,133,1,0,0,1,0.473785400390625,32.7468223571777,1,1,1,3.00035905838013,0,742397152,3.00063407421112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610354.86601,3.00092995166779,55875.3359375,-0.000301274353045542,1.01189435171623E-6,1,10,13.3016452789307,7.99460768163638,31.360000371933,-0.59212522948449,-0.0883257288322212,1,-5.69307921507663E-7,,,,,,,,,,,,,,,,,,,,,3.00028705596924,3.00157284736633,55875.3359375,55875.3359375,55.7168257363328,5.61875780508301,4.55665063858032,133,1,0,0,1,0.472030639648438,33.2355842590332,1,1,1,3.00028705596924,0,742396896,3.00092995166779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610397.9659,3.00061273574829,44600.55078125,-0.000237486893141166,9.48260262551178E-7,1,10,13.3016452789307,7.99450247001569,31.360000371933,-0.466750878142501,-0.0696441566067819,1,-4.58816532428469E-7,,,,,,,,,,,,,,,,,,,,,2.99974322319031,3.00148224830627,44600.55078125,44600.55078125,55.624202756804,5.618667588729,4.56590175628662,133,1,0,0,1,0.472183227539063,33.7243423461914,1,1,1,2.99974322319031,0,742397088,3.00061273574829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610439.14985,2.9996964931488,35600.8828125,-0.000187002670004723,6.0064690443994E-7,1,10,13.3016452789307,7.99443627512772,31.360000371933,-0.367516992413952,-0.0549188706294318,1,-4.01826453325527E-7,,,,,,,,,,,,,,,,,,,,,2.99932837486267,3.00006461143494,35600.8828125,35600.8828125,55.2697342233328,5.61740549136357,4.57920932769775,133,1,0,0,1,0.473556518554687,33.2355842590332,1,1,1,2.99932837486267,0,742397024,2.9996964931488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610476.61599,2.9995037317276,28417.267578125,-0.000147168842540438,4.06320999735949E-7,1,10,13.3016452789307,7.99438128234138,31.360000371933,-0.289242741140404,-0.043135957820288,1,-2.73319515381362E-7,,,,,,,,,,,,,,,,,,,,,2.99948143959045,2.99952602386475,28417.267578125,28417.267578125,55.2259630262558,5.61804177127101,4.59306144714355,133,1,0,0,1,0.47210693359375,34.2131004333496,1,1,1,2.99948143959045,0,742397024,2.9995037317276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610514.22915,2.99943006038666,22682.9921875,-0.000115792215770804,3.06476487006843E-7,1,10,13.3016452789307,7.99424196557219,31.360000371933,-0.227575650313071,-0.0339244817671317,1,-2.07676006971079E-7,,,,,,,,,,,,,,,,,,,,,2.99908185005188,2.99977827072144,22682.9921875,22682.9921875,55.0035897125347,5.61770086368212,4.5941104888916,133,1,0,0,1,0.470962524414063,33.7243423461914,1,1,1,2.99908185005188,0,742397120,2.99943006038666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610547.95923,2.99916911125183,18105.927734375,-9.11940847303756E-5,2.38668054298821E-7,1,10,13.3016452789307,7.99428374522884,31.360000371933,-0.179247152651316,-0.0266116376110179,1,-1.09522371698704E-7,,,,,,,,,,,,,,,,,,,,,2.99887442588806,2.9994637966156,18105.927734375,18105.927734375,54.8867362489097,5.61732371469888,4.6017427444458,133,1,0,0,1,0.471267700195313,33.7243423461914,1,1,1,2.99887442588806,0,742397056,2.99916911125183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610580.20253,2.99978816509247,14452.4404296875,-7.18181186039282E-5,1.8182310210062E-7,1,10,13.3016452789307,7.99406312989077,31.360000371933,-0.141158463475729,-0.0209703653206215,1,-9.29740368104559E-8,,,,,,,,,,,,,,,,,,,,,2.9996931552887,2.99988317489624,14452.4404296875,14452.4404296875,54.8453099373904,5.61692419699418,4.61469411849976,133,1,0,0,1,0.475311279296875,34.2131004333496,1,1,1,2.9996931552887,0,742397120,2.99978816509247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610611.17731,3.00026404857636,11536.1455078125,-5.66083038238247E-5,1.52191889804399E-7,1,10,13.3016452789307,7.99409127168389,31.360000371933,-0.111263397359208,-0.0165319928445829,1,-7.46824322304951E-8,,,,,,,,,,,,,,,,,,,,,3.00019454956055,3.00033354759216,11536.1455078125,11536.1455078125,54.9340247743231,5.61789252526695,4.61538600921631,133,1,0,0,1,0.47271728515625,34.2131004333496,1,1,1,3.00033354759216,0,742397056,3.00026404857636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610640.72445,2.99933218955994,9208.5478515625,-4.46145366929858E-5,1.19872023831221E-7,1,10,13.3016452789307,7.99393498537076,31.360000371933,-0.0876926146923892,-0.0130028201786841,1,-4.54563091161901E-8,,,,,,,,,,,,,,,,,,,,,2.99857759475708,3.00008678436279,9208.5478515625,9208.5478515625,54.9070585904097,5.61858437655211,4.61558675765991,133,1,0,0,1,0.47271728515625,34.2131004333496,1,1,1,3.00008678436279,0,742397184,2.99933218955994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610670.35788,2.99969053268433,7350.30615234375,-3.5172899859077E-5,9.72663829509179E-8,1,10,13.3016452789307,7.99386107972171,31.360000371933,-0.0691389627206089,-0.010218258723246,1,-1.91711226496516E-8,,,,,,,,,,,,,,,,,,,,,2.99916172027588,3.00021934509277,7350.30615234375,7350.30615234375,54.9285533746885,5.61819175833403,4.60941696166992,133,1,0,0,1,0.473098754882812,34.2131004333496,1,1,1,3.00021934509277,0,742397184,2.99969053268433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610698.51601,2.99991357326508,5867.244140625,-2.76907802061067E-5,8.0881420605043E-8,1,10,13.3016452789307,7.99383020107427,31.360000371933,-0.0544330293550859,-0.00803302284100783,1,-9.21777570476428E-9,,,,,,,,,,,,,,,,,,,,,2.99963903427124,3.00018811225891,5867.244140625,5867.244140625,54.955519558602,5.61817618294423,4.62301683425903,133,1,0,0,1,0.472335815429687,34.2131004333496,1,1,1,2.99963903427124,0,742397216,2.99991357326508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610728.1337,2.99872767925262,4683.4609375,-2.17615246550646E-5,6.85137164313162E-8,1,10,13.3016452789307,7.99386654239445,31.360000371933,-0.0427826026057927,-0.00627988547306627,1,9.58939188003132E-9,,,,,,,,,,,,,,,,,,,,,2.99851441383362,2.99894094467163,4683.4609375,4683.4609375,54.9074494046693,5.61761224731775,4.6209192276001,133,1,0,0,1,0.471267700195313,34.2131004333496,1,1,1,2.99894094467163,0,742396928,2.99872767925262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610755.7515,3.00030541419983,3738.44140625,-1.70555854700106E-5,5.56537908532612E-8,1,10,13.3016452789307,7.99377005619621,31.360000371933,-0.0335294254581201,-0.00492993360934346,1,3.39051972958307E-9,,,,,,,,,,,,,,,,,,,,,2.99930119514465,3.001309633255,3738.44140625,3738.44140625,54.8542986653616,5.61822760484426,4.62899589538574,133,1,0,0,1,0.47119140625,34.2131004333496,1,1,1,3.001309633255,0,742397152,3.00030541419983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842610783.58525,2.99979734420776,2984.0107421875,-1.33170176967496E-5,4.72997996020098E-8,1,10,13.3016452789307,7.99401312530961,31.360000371933,-0.0261830775965904,-0.00383018416671859,1,1.24029874228675E-8,,,,,,,,,,,,,,,,,,,,,2.99968552589417,2.99990916252136,2984.0107421875,2984.0107421875,54.965680729352,5.61813349352823,4.62067937850952,133,1,0,0,1,0.47332763671875,34.2131004333496,1,1,1,2.99968552589417,0,742397248,2.99979734420776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
