[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842618235.97531,10/05/2021,7:00 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842618398.11891,2.99931859970093,100.238250732422,6.26384034439535E-7,1.29468640964357E-8,1,10,13.3016452789307,8.00188289216476,31.360000371933,0.00121466317013368,0.000299595377722811,1,6.00884357452021E-8,,,,,,,,,,,,,,,,,,,,,2.99931859970093,2.99931859970093,100.238250732422,100.238250732422,54.8699312357462,5.62251986707835,4.61394786834717,133,1,0,0,1,0.471878051757812,33.7243423461914,1,1,1,2.99931859970093,0,742397376,2.99931859970093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618408.11684,3.0572749376297,100.238250732422,6.27416370226732E-7,1.23006508179539E-8,1,10,13.3016452789307,8.00193563958894,31.360000371933,0.00121577126973839,0.000306190943612932,1,6.32890634375611E-8,,,,,,,,,,,,,,,,,,,,,3.00615477561951,3.10839509963989,100.238250732422,100.238250732422,54.8316314383039,5.62241835793252,4.65731287002563,133,1,0,0,1,0.47454833984375,33.2355842590332,6,1,1,3.10839509963989,0,742397408,3.0572749376297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618465.63269,3.47820568084717,100.238250732422,6.15402738246072E-7,1.23621851735567E-8,1,10,13.3016452789307,8.00180119461665,31.360000371933,0.00119478673015741,0.000284663630745148,1,5.41147775976863E-8,,,,,,,,,,,,,,,,,,,,,3.47820568084717,3.47820568084717,100.238250732422,100.238250732422,54.7788715132558,5.62271125986155,4.79249668121338,133,1,0,0,1,0.469284057617188,33.7243423461914,6,1,1,3.47820568084717,0,742397344,3.47820568084717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618756.99056,5.69988775253296,100.238250732422,5.90904481517943E-7,1.24371180938689E-8,1,10,13.3016452789307,8.00149046114953,31.360000371933,0.00115378878489277,0.000228570618884669,1,2.92063772103296E-8,,,,,,,,,,,,,,,,,,,,,5.69988775253296,5.69988775253296,100.238250732422,100.238250732422,54.9734970145443,5.62283253589327,6.70760917663574,133,1,0,0,1,0.475006103515625,34.2131004333496,6,1,1,5.69988775253296,0,742397504,5.69988775253296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618805.47564,6.07732105255127,100.238250732422,5.87032297419621E-7,1.21726560960403E-8,1,10,13.3016452789307,8.00145866828717,31.3699990510941,0.001146925830996,0.000222315727627987,1,2.65966687089635E-8,,,,,,,,,,,,,,,,,,,,,6.07732105255127,6.07732105255127,100.238250732422,100.238250732422,54.7636297571308,5.62379589673524,6.78246927261353,133,1,0,0,1,0.469284057617188,33.2355842590332,6,1,1,6.07732105255127,0,742397376,6.07732105255127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618855.46465,6.47232484817505,100.238250732422,5.84160964848396E-7,1.29807243800882E-8,1,10,13.3016452789307,8.00158007512591,31.3699990510941,0.0011422379087523,0.000215033745761283,1,2.33162258620528E-8,,,,,,,,,,,,,,,,,,,,,6.47232484817505,6.47232484817505,100.238250732422,100.238250732422,54.8816556635346,5.62370471733298,6.84920454025269,133,1,0,0,1,0.476760864257812,33.7243423461914,6,1,1,6.47232484817505,0,742397248,6.47232484817505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618860.38998,6.50985383987427,100.238250732422,5.85541550292936E-7,1.11744765378885E-8,1,10,13.3016452789307,8.00156871520452,31.3699990510941,0.00114422058741004,0.0002204043043126,1,2.58435013456571E-8,,,,,,,,,,,,,,,,,,,,,6.47232484817505,6.54738283157349,100.238250732422,100.238250732422,54.8015387403135,5.6235754895911,6.8690013885498,133,1,0,0,1,0.474319458007812,34.2131004333496,6,1,1,6.54738283157349,0,742397248,6.50985383987427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618915.55253,6.94697999954224,100.238250732422,5.76546475569617E-7,1.14704431513178E-8,1,10,13.3016452789307,8.00155558339497,31.3699990510941,0.00112741631206803,0.000211759740880923,1,2.27729928519893E-8,,,,,,,,,,,,,,,,,,,,,6.94697999954224,6.94697999954224,100.238250732422,100.238250732422,54.6772598057558,5.62255074890024,6.92909812927246,133,1,0,0,1,0.468063354492188,34.2131004333496,6,1,1,6.9482421875,0,742397344,6.94697999954224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618920.50471,6.98592257499695,100.238250732422,5.75456115668451E-7,1.28482899731322E-8,1,10,13.3016452789307,8.00172842723656,31.3699990510941,0.0011265258432388,0.000203020549802997,1,1.84891686134712E-8,,,,,,,,,,,,,,,,,,,,,6.9482421875,7.0236029624939,100.238250732422,100.238250732422,54.787860241227,5.62299456958664,6.93954515457153,133,1,0,0,1,0.476531982421875,34.2131004333496,6,1,1,7.0236029624939,0,742397408,6.98592257499695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842618975.39176,7.42313861846924,100.238250732422,5.72397550222439E-7,1.26517636656128E-8,1,10,13.3016452789307,8.00163290983476,31.3699990510941,0.00111974057534779,0.000207307655399212,1,2.11197969895508E-8,,,,,,,,,,,,,,,,,,,,,7.42313861846924,7.42313861846924,100.238250732422,100.238250732422,55.0336824105251,5.62305204509112,7.00411558151245,133,1,0,0,1,0.474472045898438,34.2131004333496,6,1,1,7.42313861846924,0,742397280,7.42313861846924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
