[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842628147.96785,10/05/2021,9:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842628189.71521,3.00078511238098,99.6003341674805,-3.28165955656732E-7,6.61321266862745E-9,1,10,13.3016452789307,7.99255075571245,31.3699990510941,-0.000646338934456498,-8.6321380685305E-5,1,4.40330979185765E-9,,,,,,,,,,,,,,,,,,,,,3.00078511238098,3.00078511238098,99.6003341674805,99.6003341674805,54.7538594006404,5.68135952892237,4.58464288711548,133,1,0,0,1,0.474472045898438,31.2805480957031,1,1,1,3.00078511238098,0,742397440,3.00078511238098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628198.38372,3.04469680786133,99.6003341674805,-3.33196082496789E-7,6.47641202601363E-9,1,10,13.3016452789307,7.98150400520577,31.3800014555454,-0.000654995228378702,-9.26066964985373E-5,1,1.90972355661738E-9,,,,,,,,,,,,,,,,,,,,,3.0046558380127,3.08473777770996,99.6003341674805,99.6003341674805,54.7315829878423,5.61982860473776,4.60182809829712,133,1,0,0,1,0.473709106445313,31.7693061828613,6,1,1,3.08473777770996,0,742397280,3.04469680786133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628209.12118,3.12111604213715,99.6003341674805,-3.31473628470244E-7,6.53679985882113E-9,1,10,13.3016452789307,7.98165583405196,31.3699990510941,-0.000651336158903814,-9.4031126001144E-5,1,9.31410859597989E-10,,,,,,,,,,,,,,,,,,,,,3.08473777770996,3.15749430656433,99.6003341674805,99.6003341674805,54.6921107476212,5.62059326638648,4.63478088378906,133,1,0,0,1,0.471725463867188,31.7693061828613,6,1,1,3.15816116333008,0,742397280,3.12111604213715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628219.19989,3.20185899734497,99.6003341674805,-3.33748446927889E-7,6.76253145443192E-9,1,10,13.3016452789307,7.98130681303332,31.3699990510941,-0.000656022156269092,-9.30969197290677E-5,1,1.74080405754671E-9,,,,,,,,,,,,,,,,,,,,,3.16340589523315,3.24031209945679,99.6003341674805,99.6003341674805,54.7358819446981,5.62040344229647,4.66412115097046,133,1,0,0,1,0.4681396484375,31.7693061828613,6,1,1,3.24031209945679,0,742397248,3.20185899734497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628229.06461,3.27461969852447,99.6003341674805,-3.34805137294519E-7,6.79489102772307E-9,1,10,13.3016452789307,7.98147305352063,31.3699990510941,-0.000657035421125931,-0.000100670311745716,1,-1.95890031489509E-9,,,,,,,,,,,,,,,,,,,,,3.24031209945679,3.30892729759216,99.6003341674805,99.6003341674805,54.4029081955058,5.62106592191146,4.68804359436035,133,1,0,0,1,0.470809936523438,32.7468223571777,6,1,1,3.30892729759216,0,742397312,3.27461969852447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628239.1345,3.34911274909973,99.6003341674805,-3.3726702318068E-7,6.41531574423595E-9,1,10,13.3016452789307,7.9813577200138,31.3699990510941,-0.000661950521974678,-0.000100803980577515,1,-1.66489488738806E-9,,,,,,,,,,,,,,,,,,,,,3.3131206035614,3.38510489463806,99.6003341674805,99.6003341674805,54.8152172394,5.62069166163502,4.71472358703613,133,1,0,0,1,0.4681396484375,32.2580642700195,6,1,1,3.38510489463806,0,742397376,3.34911274909973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628249.15169,3.42252159118652,99.6003341674805,-3.35797650278222E-7,6.6364274204422E-9,1,10,13.3016452789307,7.98136939361664,31.3699990510941,-0.000659558274911109,-9.70292123703236E-5,1,4.06660326023138E-11,,,,,,,,,,,,,,,,,,,,,3.38614988327026,3.45889329910278,99.6003341674805,99.6003341674805,54.6116030101404,5.6212285917199,4.74259901046753,133,1,0,0,1,0.468292236328125,32.7468223571777,6,1,1,3.45889329910278,0,742397280,3.42252159118652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628259.10986,3.49758422374725,99.6003341674805,-3.39122223283387E-7,6.82047897526162E-9,1,10,13.3016452789307,7.98148350309553,31.3699990510941,-0.000666009684680953,-9.85607097193205E-5,1,-2.49169615241146E-10,,,,,,,,,,,,,,,,,,,,,3.46038508415222,3.53478336334229,99.6003341674805,99.6003341674805,54.7061800609673,5.62147859495808,4.77243280410767,133,1,0,0,1,0.46661376953125,31.2805480957031,6,1,1,3.53478336334229,0,742397248,3.49758422374725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628269.119,3.57286024093628,99.6003341674805,-3.3871142092793E-7,7.01370026467988E-9,1,10,13.3016452789307,7.98133532012689,31.3800014555454,-0.000663661366576416,-0.000108862784242032,1,-5.55533056300245E-9,,,,,,,,,,,,,,,,,,,,,3.53661465644836,3.60910582542419,99.6003341674805,99.6003341674805,54.7734001136212,5.62188856725284,4.78284168243408,133,1,0,0,1,0.475234985351562,33.2355842590332,6,1,1,3.60910582542419,0,742397376,3.57286024093628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842628279.06218,3.64742588996887,99.6003341674805,-3.41222102567319E-7,6.88771858145117E-9,1,10,13.3016452789307,7.9811972528655,31.3699990510941,-0.000670074575835801,-9.94783845299472E-5,1,-4.08231869229384E-10,,,,,,,,,,,,,,,,,,,,,3.61045503616333,3.68439674377441,99.6003341674805,99.6003341674805,54.8421834233135,5.62156864232791,4.81940650939941,133,1,0,0,1,0.468597412109375,32.7468223571777,6,1,1,3.68439674377441,0,742397248,3.64742588996887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
