[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842635063.83503,10/05/2021,11:41 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC714,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM189,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,OVB229,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC108,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI177,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,A2481,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,5mm x 5mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.98,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842635071.9268,399.890747070313,99.6003341674805,-4.05550980868446E-7,7.04885741747233E-9,1,10,13.3016452789307,7.98956906588871,32.880000770092,-0.000797086092746725,-0.000116837216891037,1,2.60309975898896E-10,,,,,,,,,,,,,,,,,,,,,399.888549804687,399.892944335937,99.6003341674805,99.6003341674805,54.9965550558616,5.62891300785092,10.3807277679443,133,1,0,0,1,0.471954345703125,34.2131004333496,1,1,1,399.892944335937,0,742397376,399.890747070313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635079.52067,399.890731811523,99.6003341674805,-4.04618058720036E-7,6.56514129570809E-9,1,10,13.3016452789307,7.98957970035543,32.880000770092,-0.000795928620243946,-0.00011198042386928,1,2.59432338658055E-9,,,,,,,,,,,,,,,,,,,,,399.883880615234,399.897583007812,99.6003341674805,99.6003341674805,55.107937119852,5.62825735403356,10.3785715103149,133,1,0,0,1,0.466079711914063,34.2131004333496,6,1,1,399.883880615234,0,742395904,399.890731811523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635088.26597,399.777221679687,99.6003341674805,-4.04794052059163E-7,6.68897568703542E-9,1,10,13.3016452789307,7.98971942952526,32.880000770092,-0.000795682805748751,-0.000116104174324076,1,5.22488343922165E-10,,,,,,,,,,,,,,,,,,,,,399.672760009766,399.881683349609,99.6003341674805,99.6003341674805,55.0375905531212,5.62841845732361,10.3782911300659,133,1,0,0,1,0.471649169921875,34.2131004333496,2,1,1,399.672760009766,0,742395904,399.777221679687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635098.25203,399.4345703125,99.6003341674805,-4.04798943987564E-7,6.90073287537892E-9,1,10,13.3016452789307,7.98932894590449,32.880000770092,-0.000795391493086304,-0.000117997937153903,1,-4.42051250741722E-10,,,,,,,,,,,,,,,,,,,,,399.196380615234,399.672760009766,99.6003341674805,99.6003341674805,54.9844398138135,5.62922189892926,10.3721714019775,133,1,0,0,1,0.467529296875,34.2131004333496,2,1,1,399.196380615234,0,742395904,399.4345703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635108.37701,398.86962890625,99.6003341674805,-4.01570606390051E-7,6.85587410130113E-9,1,10,13.3016452789307,7.98957416015869,32.880000770092,-0.000788916811942199,-0.000118043055274604,1,-9.39302342412281E-10,,,,,,,,,,,,,,,,,,,,,398.560211181641,399.179046630859,99.6003341674805,99.6003341674805,55.0981667633616,5.6287955857213,10.3726367950439,132,1,64,0,0,0.469818115234375,34.7018585205078,2,1,1,398.560211181641,0,742395904,398.86962890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635118.36381,398.180969238281,99.6003341674805,-4.04983538357241E-7,6.97368266013791E-9,1,10,13.3016452789307,7.98949289561296,32.880000770092,-0.000797584383630064,-0.000105685147413094,1,5.85109337407953E-9,,,,,,,,,,,,,,,,,,,,,397.816497802734,398.545440673828,99.6003341674805,99.6003341674805,54.8550802938808,5.62849566355196,10.3724365234375,132,1,64,0,0,0.467605590820313,34.7018585205078,2,1,1,397.816497802734,0,742395904,398.180969238281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635128.43639,397.390563964844,99.6003341674805,-4.00333879939224E-7,6.75551787790623E-9,1,10,13.3016452789307,7.98944860928357,32.8599996864796,-0.000786807175662241,-0.00011545790105381,1,1.93517907486027E-10,,,,,,,,,,,,,,,,,,,,,397.025238037109,397.755889892578,99.6003341674805,99.6003341674805,55.0786260503808,5.62900373263739,10.3573331832886,132,1,64,0,0,0.467147827148438,34.7018585205078,2,1,1,397.025238037109,0,742396704,397.390563964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635138.28343,396.567199707031,99.6003341674805,-4.04748242285784E-7,6.65406042378377E-9,1,10,13.3016452789307,7.98951739486384,32.8599996864796,-0.000795119466219452,-0.000119227189915304,1,-1.07421639608496E-9,,,,,,,,,,,,,,,,,,,,,396.152801513672,396.981597900391,99.6003341674805,99.6003341674805,54.9520022302654,5.62891860429095,10.3630399703979,132,1,64,0,0,0.464935302734375,34.7018585205078,2,1,1,396.152801513672,0,742396864,396.567199707031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635148.32494,395.724975585937,99.6003341674805,-4.03613856648215E-7,7.0349490382656E-9,1,10,13.3016452789307,7.98956012880369,32.8599996864796,-0.000792813138551842,-0.000119438310397633,1,-1.34848338136597E-9,,,,,,,,,,,,,,,,,,,,,395.31494140625,396.135009765625,99.6003341674805,99.6003341674805,55.0805801216789,5.62861136195298,10.3574838638306,131,1,64,0,0,0.4632568359375,34.2131004333496,2,1,1,395.31494140625,0,742396896,395.724975585937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3842635158.40944,394.875442504883,99.6003341674805,-4.03315567868809E-7,6.59365318806942E-9,1,10,13.3016452789307,7.98962298377071,32.8500010073185,-0.00079293919327519,-0.000114538706259107,1,1.10097143043903E-9,,,,,,,,,,,,,,,,,,,,,394.4853515625,395.265533447266,99.6003341674805,99.6003341674805,55.0946494350251,5.62819927599736,10.3509664535522,132,1,64,0,0,0.469284057617188,34.7018585205078,2,1,1,394.4853515625,0,742396992,394.875442504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
