Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
69999.828125,-0.0004150303836382,7.89838896115516e-07,-0.00041712788926899513,2.097505630795104e-06
69999.8359375,-0.0004149059931436,7.96816145765023e-07,-0.0004171279358235614,2.221942679961385e-06
55875.296875,-0.0003305184316347,9.82956767835319e-07,-0.0003329600267893119,2.4415951546118988e-06
44600.453125,-0.0002632957775255,9.26620050606257e-07,-0.0002657734078896641,2.4776303641641027e-06
35600.8203125,-0.000209635574754,5.91266741584603e-07,-0.0002121447356510619,2.5091608970619083e-06
28417.01171875,-0.000166713747066,4.01586146550789e-07,-0.00016933653174701257,2.6227846810125796e-06
22682.90625,-0.0001325666871535,2.98591386313568e-07,-0.00013516708626274212,2.6003991092421106e-06
18105.90234375,-0.000105269520532,2.40969733855864e-07,-0.00010789279102903496,2.6232704970349596e-06
14452.5986328125,-8.34467127513498e-05,1.85108586273255e-07,-8.612281092164529e-05,2.676098170295487e-06
11536.1572265625,-6.60737502691187e-05,1.49795457217175e-07,-6.874378185041123e-05,2.670031581292526e-06
9208.44921875,-5.21975534039487e-05,1.2088755494893e-07,-5.487300596222592e-05,2.6754525582772204e-06
7350.39208984375,-4.11303693853118e-05,9.57301926389366e-08,-4.380087237158543e-05,2.6705029862736303e-06
5867.2802734375,-3.22957951332892e-05,8.02872762592806e-08,-3.4963032078281936e-05,2.6672369449927334e-06
4683.26416015625,-2.52407638112813e-05,6.50583168654789e-08,-2.7907498437377193e-05,2.6667346260958946e-06
3738.30639648438,-1.96238015840695e-05,5.62130714968832e-08,-2.227650979116333e-05,2.6527082070938274e-06
2984.158203125,-1.5152338093195e-05,4.64994617845724e-08,-1.7782552412721205e-05,2.6302143195262054e-06
2381.98046875,-1.15976012335208e-05,4.11809556968861e-08,-1.4194184640502059e-05,2.596583406981259e-06
1901.49670410156,-8.77055839188482e-06,3.49652487405802e-08,-1.133098934496612e-05,2.5604309530813e-06
1517.90222167969,-6.54392693280741e-06,3.09899984396533e-08,-9.045155778315954e-06,2.5012288455085444e-06
1211.63024902344,-4.8120521654584e-06,2.97216549710042e-08,-7.220085847169564e-06,2.408033681711164e-06
967.186889648438,-3.44712184495321e-06,2.55750865504139e-08,-5.763451662870742e-06,2.3163298179175326e-06
771.948608398438,-2.42838330786368e-06,2.42709613934425e-08,-4.600029775364231e-06,2.171646467500551e-06
616.445007324219,-1.66493856710204e-06,2.30272279413352e-08,-3.6733862302688577e-06,2.008447663166818e-06
492.12548828125,-1.11983180447786e-06,2.08235212939985e-08,-2.932568145962593e-06,1.8127363414847328e-06
392.807342529297,-7.15511875454216e-07,2.04379041207397e-08,-2.340732857029552e-06,1.625220981575336e-06
313.558898925781,-3.91606270431476e-07,2.39871373727253e-08,-1.8684926116798407e-06,1.4768863412483646e-06
250.282806396484,-1.9429057538117e-07,1.87738965426085e-08,-1.4914313584607237e-06,1.2971407830795538e-06
