Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
69999.65625,-0.0003817944522146,8.30753817113606e-07,-0.0003861701886833711,4.375736468771097e-06
69999.59375,-0.0003817896973492,8.26062029310716e-07,-0.00038616984388686654,4.3801465376665585e-06
55875.3359375,-0.0003012743530455,1.01189435171623e-06,-0.00030824992832348543,6.975575277985452e-06
44600.55078125,-0.0002374868931411,9.48260262551178e-07,-0.0002460498241457805,8.562931004680511e-06
35600.8828125,-0.0001870026700047,6.0064690443994e-07,-0.0001964009592261063,9.398289221406299e-06
28417.267578125,-0.0001471688425404,4.06320999735949e-07,-0.0001567707924638612,9.601949923461185e-06
22682.9921875,-0.0001157922157708,3.06476487006843e-07,-0.00012513626269343726,9.344046922637268e-06
18105.927734375,-9.11940847303756e-05,2.38668054298821e-07,-9.988576950291916e-05,8.691684772543562e-06
14452.4404296875,-7.18181186039282e-05,1.8182310210062e-07,-7.97304150713969e-05,7.9122964674687e-06
11536.1455078125,-5.66083038238247e-05,1.52191889804399e-07,-6.364196234793334e-05,7.033658524108641e-06
9208.5478515625,-4.46145366929858e-05,1.19872023831221e-07,-5.080120177501217e-05,6.1866650820263696e-06
7350.30615234375,-3.5172899859077e-05,9.72663829509179e-08,-4.054975789586294e-05,5.376858036785941e-06
5867.244140625,-2.76907802061067e-05,8.0881420605043e-08,-3.236808433379356e-05,4.677304127686864e-06
4683.4609375,-2.17615246550646e-05,6.85137164313162e-08,-2.583745536501221e-05,4.075930709947612e-06
3738.44140625,-1.70555854700106e-05,5.56537908532612e-08,-2.0624024467738576e-05,3.5684389977279777e-06
2984.0107421875,-1.33170176967496e-05,4.72997996020098e-08,-1.6462023573776522e-05,3.1450058770269225e-06
2382.18896484375,-1.03469211702069e-05,4.14974603892364e-08,-1.3141926851007292e-05,2.7950056808003917e-06
1901.54577636719,-7.98090695147497e-06,3.61985975076272e-08,-1.0490341390066256e-05,2.5094344385912847e-06
1517.79187011719,-6.09688592672232e-06,3.20183581599763e-08,-8.373269302522352e-06,2.2763833758000322e-06
1211.642578125,-4.60166622062054e-06,2.92744577730624e-08,-6.684322010671837e-06,2.0826557900512966e-06
967.284973144531,-3.41902462586331e-06,2.64635837577099e-08,-5.336263641863428e-06,1.917239016000118e-06
772.206237792969,-2.48224264260319e-06,2.45541811771925e-08,-4.2600641849721505e-06,1.7778215423689605e-06
616.408203125,-1.72838555989064e-06,2.58345128218493e-08,-3.400566300734641e-06,1.6721807408440009e-06
492.223663330078,-1.16061850983325e-06,2.18720312366198e-08,-2.7154719769441204e-06,1.5548534671108703e-06
392.782806396484,-6.8437130020073e-07,2.09256281703572e-08,-2.166882218906814e-06,1.482510918706084e-06
313.632507324219,-3.18424445389035e-07,2.06099163944085e-08,-1.7302302756755666e-06,1.4118058302865315e-06
250.295074462891,-1.06009194067005e-08,2.12589886500083e-08,-1.3808138683802897e-06,1.3702129489735892e-06
200.108474731445,2.27744472801546e-07,2.21927038776133e-08,-1.1039472418006868e-06,1.3316917146022327e-06
159.613250732422,4.08439034395157e-07,1.81857033073662e-08,-8.80545454845796e-07,1.288984489240953e-06
127.60718536377,5.55678310103151e-07,1.80509680529689e-08,-7.039761834442003e-07,1.2596544935473514e-06
101.931167602539,6.81200829029992e-07,1.74142182074932e-08,-5.623281646585059e-07,1.2435289936884979e-06
