Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
6.99997734375,-0.0004001550154216,8.19792395572211e-07,-0.00040087727522212607,7.222598005260741e-07
6.99997421875,-0.0004002227552195,8.03983357847291e-07,-0.00040087709625847754,6.543410389775461e-07
5.5875296875,-0.0003192825580047,1.030275396875e-06,-0.0003199887037274009,7.061457227008905e-07
4.460053515625,-0.0002547475420599,9.28926037464046e-07,-0.00025541998393537496,6.724418754749679e-07
3.560080859375,-0.0002031714897596,5.5596521298571e-07,-0.00020388001909048248,7.085293308824918e-07
2.8417267578125003,-0.0001620556831759,4.17537006672452e-07,-0.00016274105238566424,6.853692097642404e-07
2.2682968750000003,-0.0001291662017644,2.99236569338638e-07,-0.00012990165910418966,7.354573397896544e-07
1.8105941406250001,-0.0001029108691293,2.38879035390076e-07,-0.00010368977069260917,7.78901563309168e-07
1.4452402343750002,-8.19933440901838e-05,1.82986437177492e-07,-8.276654891103723e-05,7.732048208534346e-07
1.1536341796875,-6.5286783833604e-05,1.49435157778697e-07,-6.606674619727944e-05,7.79962363675431e-07
0.9208375976562501,-5.19654627587005e-05,1.20009430993532e-07,-5.273486597783332e-05,7.694032191328187e-07
0.7350404296875,-4.13016221673761e-05,1.01148602244922e-07,-4.2094565476603545e-05,7.929433092274444e-07
0.58673544921875,-3.28218033200203e-05,8.15380243117212e-08,-3.360138134861982e-05,7.795780285995202e-07
0.46833383789062505,-2.60316221113827e-05,6.77482879474882e-08,-2.682071435496061e-05,7.890922435779074e-07
0.373850268554687,-2.06339304367633e-05,5.60086935770126e-08,-2.1409794580703064e-05,7.758641439397633e-07
0.298420727539063,-1.63177945621329e-05,4.73961790972025e-08,-1.7090067903216426e-05,7.722733410835276e-07
0.238204150390625,-1.28750610649624e-05,4.17001462825092e-08,-1.3641562831693312e-05,7.665017667309115e-07
0.19015948486328102,-1.01353758736542e-05,3.68347363210865e-08,-1.0890123268427217e-05,7.54747394773017e-07
0.151777954101562,-7.97443516065042e-06,4.64805135148073e-08,-8.692075658408889e-06,7.176404977584684e-07
0.12115198974609401,-6.22882126929499e-06,2.90613866680063e-08,-6.93817667574549e-06,7.093554064505001e-07
0.09670150756835941,-4.87045539152749e-06,2.59873825305096e-08,-5.537937476110237e-06,6.674820845827474e-07
0.077197314453125,-3.76757951061254e-06,2.34730407424204e-08,-4.42096417641486e-06,6.533846658023199e-07
0.0616457275390625,-2.90059455893263e-06,2.23514976719737e-08,-3.53035018134875e-06,6.297556224161198e-07
0.0492101013183594,-2.23521699028269e-06,2.09043806372558e-08,-2.8181821684783463e-06,5.829651781956564e-07
0.039284414672851604,-1.68569097002423e-06,2.04615357980428e-08,-2.2497542976778095e-06,5.640633276535794e-07
0.031359567260742204,-1.2471746696695e-06,1.91081418014403e-08,-1.7959112234635688e-06,5.487365537940689e-07
0.025034414672851602,-9.0988454279689e-07,1.95265333482371e-08,-1.4336800603782043e-06,5.237955175813143e-07
0.019980178833007803,-6.35489126476805e-07,1.80799128135137e-08,-1.1442322247197582e-06,5.087430982429531e-07
0.015958871459960902,-4.23282344027743e-07,1.79203388748871e-08,-9.139385161298264e-07,4.906561721020834e-07
0.0127570381164551,-2.40904270328426e-07,1.76769219880281e-08,-7.30574747444778e-07,4.896704771163519e-07
0.0101955703735352,-1.16481888279594e-07,1.7682237641388e-08,-5.838836713275219e-07,4.674017830479279e-07
0.00814811477661133,-3.82742234547905e-09,1.75287224177195e-08,-4.6662923170194616e-07,4.6280180935646713e-07
0.006483406829833981,1.00617401441082e-07,1.72198467887726e-08,-3.712941251761274e-07,4.719115266172094e-07
0.00520144653320313,1.62601120342049e-07,1.70114909870784e-08,-2.978783517500645e-07,4.604794720921135e-07
0.00414888954162598,2.20827825154408e-07,1.68277055177584e-08,-2.37600131110367e-07,4.58427956264775e-07
0.00333309669494629,2.60536108601355e-07,1.69060780754426e-08,-1.9088100653853529e-07,4.514171151398903e-07
0.0026632877349853502,2.9585529043828e-07,1.66847661776719e-08,-1.525221408447412e-07,4.4837743128302123e-07
0.0021259685516357403,3.26147786216599e-07,1.63754597104743e-08,-1.2175074837186544e-07,4.4789853458846445e-07
0.0016990573883056603,3.52553351848987e-07,1.66433365732506e-08,-9.73022429677053e-08,4.498555948166923e-07
0.00136169939041138,3.6178677265785e-07,1.64787672113572e-08,-7.798230115517922e-08,4.3976907381302923e-07
0.00109058628082275,3.80873415767209e-07,1.63800086172114e-08,-6.245609595311148e-08,4.433295117203205e-07
0.0008771306991577151,3.95456253080221e-07,1.68731830695501e-08,-5.023184325103169e-08,4.4568809633125266e-07
0.000693117237091064,4.01704442967224e-07,1.63953269622942e-08,-3.969369267496839e-08,4.4139813564219236e-07
0.0005753486633300781,4.12123906256481e-07,1.61029464053169e-08,-3.294927870936426e-08,4.4507318496584526e-07
0.00046616735458374,4.16434185997698e-07,1.67901664669377e-08,-2.6696643392694747e-08,4.4313082939039274e-07
0.00037538740634918203,4.25281988135685e-07,1.71395009781247e-08,-2.149782395286215e-08,4.4677981208854717e-07
0.000323863649368286,4.30720066390288e-07,1.63218440936462e-08,-1.854714250156426e-08,4.4926720889185225e-07
0.000263752579689026,4.31391007049316e-07,1.66136187704903e-08,-1.510467967056317e-08,4.4649568671987917e-07
0.00021468234062194802,4.36216471991319e-07,1.67321498997573e-08,-1.2294507184894753e-08,4.4851097917621376e-07
0.000164385330677032,4.4187613262963e-07,1.58061310077106e-08,-9.414079533719457e-09,4.5129021216334944e-07
-7.48321294784546e-05,4.46889645715216e-07,1.61055563009855e-08,4.285513894009483e-09,4.4260413182120655e-07
-0.00010427428483963,4.47935705754443e-07,1.65804255756046e-08,5.971618068102654e-09,4.4196408768634034e-07
-0.00015211777687072802,4.52570275687302e-07,1.60340377694629e-08,8.711536753648481e-09,4.4385873893365353e-07
-0.00018155990839004502,4.54939948340008e-07,1.6384859183622e-08,1.0397639562357342e-08,4.4454230877765067e-07
-0.000230630159378052,4.59821248173797e-07,1.64323037358178e-08,1.3207812730717903e-08,4.466134354430791e-07
-0.00031650309562683104,4.64796497834659e-07,1.65689679954167e-08,1.8125615604675793e-08,4.466708822299832e-07
-0.000409736585617065,4.67698612350804e-07,1.5989092834443e-08,2.346494537552215e-08,4.4423366697528185e-07
-0.000518917894363403,4.73407412346363e-07,1.69820018279594e-08,2.9717580692191655e-08,4.436898316541713e-07
-0.0006293259620666501,4.7761570985483e-07,1.58195765457554e-08,3.6040470491675906e-08,4.415752393631541e-07
