Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
6.99997421875,-0.0004116189514725,8.71875829687273e-07,-0.000428802736736823,1.718378526432301e-05
6.999972656250001,-0.0004116233643508,8.75203757805699e-07,-0.0004288026410215739,1.7179276670773944e-05
5.587527343750001,-0.0003244216238329,1.15308272954498e-06,-0.0003422794058546805,1.7857782021780478e-05
4.4600437500000005,-0.0002553464547128,9.86383526025535e-07,-0.00027321228710289143,1.7865832390091417e-05
3.560084765625,-0.000200682309601,6.34621459297265e-07,-0.00021808281613752494,1.7400506536524953e-05
2.8417230468750003,-0.000157457606135,4.38376128055531e-07,-0.00017407758678369823,1.661998064869823e-05
2.2682882812500003,-0.0001234303447501,3.23683302468802e-07,-0.0001389502578599143,1.5519913109814294e-05
1.810596484375,-9.66983515753828e-05,2.58220135609804e-07,-0.000110913083872002,1.42147322966192e-05
1.44525751953125,-7.57746026992583e-05,2.05154893058337e-07,-8.853323745171435e-05,1.2758634752456057e-05
1.1536231445312501,-5.93400204648741e-05,1.64641467313805e-07,-7.066836906526137e-05,1.1328348600387262e-05
0.92084736328125,-4.64553640692992e-05,1.31339810576052e-07,-5.6409046255373035e-05,9.953682186073836e-06
0.7350453125,-3.63672942697395e-05,1.05562928844274e-07,-4.502722892625987e-05,8.659934656520365e-06
0.586720703125,-2.83894481272779e-05,8.7453937218538e-08,-3.594119568701491e-05,7.551747559737013e-06
0.46832280273437504,-2.20808145991777e-05,7.24733770472071e-08,-2.868840558738798e-05,6.60759098821028e-06
0.373828198242188,-1.71300540949263e-05,6.04815615381402e-08,-2.2899877837588758e-05,5.769823742662459e-06
0.29841335449218803,-1.31928233451819e-05,5.05958122187014e-08,-1.8280133481393894e-05,5.087310136211994e-06
0.238220092773438,-1.01039654399441e-05,4.39050159883524e-08,-1.4592829135475176e-05,4.4888636955310766e-06
0.190153332519531,-7.68824185511492e-06,3.86274270210439e-08,-1.1648367099066614e-05,3.960125243951694e-06
0.151790222167969,-5.78778141853934e-06,3.54710843336511e-08,-9.298328914008258e-06,3.510547495468918e-06
0.12115198974609401,-4.30838109665519e-06,3.09426124772704e-08,-7.4214994428241625e-06,3.1131183461689722e-06
0.0967051940917969,-3.16320867047678e-06,2.7929854994371e-08,-5.92394351569956e-06,2.76073484522278e-06
0.07720099487304691,-2.26702424654601e-06,2.60235416320844e-08,-4.729159972003355e-06,2.462135725457345e-06
0.0616543151855469,-1.58038068548853e-06,2.47287116023592e-08,-3.7768052077080623e-06,2.1964245222195324e-06
0.0492039642333984,-1.07036524772916e-06,2.32427526497988e-08,-3.014124604211706e-06,1.943759356482546e-06
0.0392930023193359,-6.56563817185105e-07,2.28381312989547e-08,-2.4070012835199153e-06,1.7504374663348103e-06
0.031374291992187504,-3.38657471905879e-07,2.20180354138944e-08,-1.921918831271437e-06,1.583261359365558e-06
0.0250393203735352,-1.04413281182735e-07,2.0984631388187e-08,-1.5338526638344246e-06,1.4294393826516895e-06
0.019985086059570303,7.6121035194081e-08,1.96484762590977e-08,-1.224241594106182e-06,1.300362629300263e-06
0.0159527374267578,2.16785441816363e-07,1.97538832502436e-08,-9.772289516030852e-07,1.194014393419448e-06
0.012750904083252001,3.08362648014391e-07,4.14690817668694e-08,-7.810918148986489e-07,1.0894544629130398e-06
0.010199251556396501,4.10730204555526e-07,1.89867781629301e-08,-6.247832982492184e-07,1.0355135028047443e-06
0.00814320831298828,4.74136055473775e-07,1.85940093438051e-08,-4.988346958584892e-07,9.729707513322643e-07
0.006505488586425781,5.12595264114611e-07,2.00385403941551e-08,-3.9851165482830595e-07,9.11106918942917e-07
0.00519285926818848,5.48445778567428e-07,1.86797748518692e-08,-3.1810292382562873e-07,8.665487023930567e-07
0.00415870361328125,5.92642999430773e-07,1.86548929998476e-08,-2.547528654999469e-07,8.473958649307199e-07
0.00333064308166504,6.15853205562929e-07,1.82238379148665e-08,-2.0402773265735965e-07,8.198809382202886e-07
0.0026645145416259804,6.41699898134494e-07,1.83183247821661e-08,-1.6322219079948407e-07,8.049220889339781e-07
0.00212719535827637,6.54990191432321e-07,1.78793917194631e-08,-1.3030722152654703e-07,7.85297412958868e-07
0.0017064178466796901,6.6156909930576e-07,1.854693262677e-08,-1.045313339458944e-07,7.661004332516544e-07
0.0013580190658569302,6.75202837595642e-07,1.82630534362371e-08,-8.318920524313331e-08,7.583920428387753e-07
0.00110285387039185,6.83717483623158e-07,1.83335059670958e-08,-6.755835708338804e-08,7.512758407065461e-07
0.000874677181243896,6.88943361346072e-07,1.90966230199689e-08,-5.358076435110195e-08,7.425241256971739e-07
0.00069925103187561,6.96880151127021e-07,1.79007496963198e-08,-4.283455149465568e-08,7.397147026216767e-07
0.000576575422286987,6.9842474664732e-07,1.76659351344808e-08,-3.5319718514048914e-08,7.337444651613689e-07
0.00046862087249755906,6.9927188204988e-07,1.84026401874235e-08,-2.8706664673235675e-08,7.279785467231156e-07
0.000369253611564636,7.08548408162787e-07,1.8183423261732e-08,-2.2619648907385015e-08,7.311680570701721e-07
0.000323863649368286,7.0892434024431e-07,1.8048197325171e-08,-1.9839161522439842e-08,7.287635017667499e-07
0.000257618808746338,7.12312464924009e-07,1.75272490779172e-08,-1.5781151011872777e-08,7.280936159358818e-07
0.00021345558166503903,7.12172835780675e-07,1.79538798805668e-08,-1.3075810671494717e-08,7.252486464521697e-07
0.000182786679267883,7.1274236271735e-07,1.81318255480279e-08,-1.119710242634301e-08,7.23939465143693e-07
-7.23786175251007e-05,7.19178540508532e-07,1.78632637085146e-08,4.433751940522597e-09,7.147447885680095e-07
-0.00010427428483963,7.22390669094701e-07,1.76404052255059e-08,6.387609055864904e-09,7.160030600388361e-07
-0.000153344523906708,7.25495089537866e-07,1.82413143164045e-08,9.393541956007876e-09,7.161015475818581e-07
-0.000191373956203461,7.22023905956548e-07,1.7838533108528e-08,1.1723139771056315e-08,7.103007661854917e-07
