Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
6.999965625000001,-0.0003817944522146,8.30753817113606e-07,-0.0003965753390941875,1.4780886879587501e-05
6.999959375,-0.0003817896973492,8.26062029310716e-07,-0.00039657498500732447,1.4785287658124495e-05
5.58753359375,-0.0003012743530455,1.01189435171623e-06,-0.00031655555874841456,1.5281205702914573e-05
4.460055078125,-0.0002374868931411,9.48260262551178e-07,-0.000252679505834884,1.5192612693783972e-05
3.56008828125,-0.0001870026700047,6.0064690443994e-07,-0.00020169287864780933,1.4690208643109337e-05
2.8417267578125003,-0.0001471688425404,4.06320999735949e-07,-0.00016099489811316297,1.3826055572762957e-05
2.26829921875,-0.0001157922157708,3.06476487006843e-07,-0.00012850799275787326,1.2715776987073262e-05
1.8105927734375,-9.11940847303756e-05,2.38668054298821e-07,-0.00010257713845379945,1.1383053723423858e-05
1.44524404296875,-7.18181186039282e-05,1.8182310210062e-07,-8.187870871354264e-05,1.0060590109614435e-05
1.15361455078125,-5.66083038238247e-05,1.52191889804399e-07,-6.535676118553267e-05,8.748457361707973e-06
0.9208547851562501,-4.46145366929858e-05,1.19872023831221e-07,-5.2170013146292415e-05,7.555476453306616e-06
0.7350306152343751,-3.5172899859077e-05,9.72663829509179e-08,-4.16423495624211e-05,6.469449703344104e-06
0.5867244140625,-2.76907802061067e-05,8.0881420605043e-08,-3.3240225156344876e-05,5.549444950238178e-06
0.46834609375,-2.17615246550646e-05,6.85137164313162e-08,-2.653363186227709e-05,4.772107207212489e-06
0.37384414062500004,-1.70555854700106e-05,5.56537908532612e-08,-2.117972784141129e-05,4.124142371400693e-06
0.29840107421875,-1.33170176967496e-05,4.72997996020098e-08,-1.690558404626031e-05,3.5885663495107105e-06
0.238218896484375,-1.03469211702069e-05,4.14974603892364e-08,-1.349602908256198e-05,3.1491079123550804e-06
0.190154577636719,-7.98090695147497e-06,3.61985975076272e-08,-1.0772998061200312e-05,2.792091109725341e-06
0.151779187011719,-6.09688592672232e-06,3.20183581599763e-08,-8.59888259188595e-06,2.50199666516363e-06
0.12116425781250001,-4.60166622062054e-06,2.92744577730624e-08,-6.864427513254787e-06,2.2627612926342468e-06
0.09672849731445311,-3.41902462586331e-06,2.64635837577099e-08,-5.4800464284494885e-06,2.0610218025861785e-06
0.0772206237792969,-2.48224264260319e-06,2.45541811771925e-08,-4.374849349397962e-06,1.8926067067947717e-06
0.061640820312500004,-1.72838555989064e-06,2.58345128218493e-08,-3.4921927516570577e-06,1.7638071917664177e-06
0.049222366333007805,-1.16061850983325e-06,2.18720312366198e-08,-2.7886389255705647e-06,1.6280204157373146e-06
0.0392782806396484,-6.8437130020073e-07,2.09256281703572e-08,-2.2252677081832415e-06,1.5408964079825113e-06
0.031363250732421896,-3.18424445389035e-07,2.06099163944085e-08,-1.7768504105055853e-06,1.4584259651165502e-06
0.025029507446289102,-1.06009194067005e-08,2.12589886500083e-08,-1.4180191638973357e-06,1.4074182444906351e-06
0.0200108474731445,2.27744472801546e-07,2.21927038776133e-08,-1.1336925132720696e-06,1.3614369860736155e-06
0.0159613250732422,4.08439034395157e-07,1.81857033073662e-08,-9.042712839484238e-07,1.3127103183435808e-06
0.012760718536377,5.55678310103151e-07,1.80509680529689e-08,-7.229444474092246e-07,1.2786227575123755e-06
0.010193116760253902,6.81200829029992e-07,1.74142182074932e-08,-5.774797980703421e-07,1.258680627100334e-06
0.00813830108642578,7.68045052050725e-07,1.73281284894631e-08,-4.610664803085941e-07,1.2291115323593191e-06
0.00651530227661133,8.14097864602577e-07,3.2141912475224e-08,-3.691172711506379e-07,1.1832151357532148e-06
0.00520144653320313,9.05853013192577e-07,1.71762560055172e-08,-2.946822217695272e-07,1.2005352349621042e-06
0.00414888954162598,9.53733622566087e-07,1.71393034383121e-08,-2.3505076524352946e-07,1.1887843878096165e-06
0.0033232826232910202,9.90084324317424e-07,1.70643994892737e-08,-1.8827691503663023e-07,1.1783612393540544e-06
0.0026547004699707002,1.02778675908784e-06,1.67743643366873e-08,-1.5039912986317405e-07,1.178185888951014e-06
0.00213210220336914,1.04975334594466e-06,1.64495159708466e-08,-1.2079190092945362e-07,1.1705452468741135e-06
0.0016990573883056603,1.06998042040792e-06,1.64402652998127e-08,-9.625822411203651e-08,1.1662386445199566e-06
0.00136537961959839,1.08720382863811e-06,1.69256096725254e-08,-7.735407781156414e-08,1.1645579064496741e-06
0.00109794683456421,1.09818070220963e-06,1.62080619862453e-08,-6.220296806453123e-08,1.1603836702741613e-06
0.000891851711273193,1.12004420875121e-06,1.91431302152049e-08,-5.052687595446555e-08,1.1705710847056754e-06
0.000709065103530884,1.12435721414184e-06,1.66367633781779e-08,-4.01713021087322e-08,1.1645285162505722e-06
0.000566761350631714,1.12922291807958e-06,1.65595847983776e-08,-3.210923979533852e-08,1.1613321578749186e-06
0.000475981426239014,1.13740992452205e-06,1.63616769535852e-08,-2.6966203210929617e-08,1.1643761277329797e-06
0.00035821280479431204,1.13867273507495e-06,1.66522175917126e-08,-2.0294151734378592e-08,1.1589668868093285e-06
0.00029810175895690904,1.13866096967352e-06,1.66673899582795e-08,-1.6888626669921673e-08,1.1555495963434415e-06
0.000252711772918701,1.14613526558586e-06,1.63678192726662e-08,-1.431710702698303e-08,1.160452372612843e-06
0.00021958935260772702,1.14800430621115e-06,1.63923347520832e-08,-1.2440592802465717e-08,1.1604448990136157e-06
0.00016929235458374,1.14843446831502e-06,1.64078353255971e-08,-9.591071802599046e-09,1.158025540117619e-06
-8.58729302883148e-05,1.15878060430656e-06,1.63150951195812e-08,4.865036240531532e-09,1.1539155680660286e-06
-0.00011408833265304601,1.15701436415293e-06,1.84377379373771e-08,6.4635487704373095e-09,1.1505508153824928e-06
-0.00015211777687072802,1.16655245159607e-06,1.63624437859207e-08,8.618065027249745e-09,1.1579343865688203e-06
-0.000176652884483337,1.16717131786879e-06,1.64661165976057e-08,1.0008074513358156e-08,1.157163243355432e-06
-0.000228176665306091,1.16710606822669e-06,1.61265183738737e-08,1.292709754087456e-08,1.1541789706858153e-06
-0.000322636866569519,1.17336617252136e-06,1.67259773321946e-08,1.8278636156030137e-08,1.1550875363653298e-06
-0.00041832385063171395,1.17734059156694e-06,1.62503854444607e-08,2.369967679883545e-08,1.1536409147681045e-06
-0.0005164643764495849,1.17915681242555e-06,1.63524105667528e-08,2.9259720146206035e-08,1.149897092279344e-06
-0.0006465005397796631,1.18483427720907e-06,1.64226785001626e-08,3.662677569044421e-08,1.1482075015186259e-06
-0.000814566135406494,1.191961774364e-06,1.65966590553409e-08,4.614834681612771e-08,1.1458134275478721e-06
-0.00103660898208618,1.20295830552173e-06,1.66107602321425e-08,5.872793962169026e-08,1.1442303659000398e-06
-0.0013089488983154302,1.21468023932413e-06,1.60509772522552e-08,7.415705747932224e-08,1.1405231818448078e-06
-0.0016475336074829102,1.22139663806852e-06,1.64671197280344e-08,9.333920108452032e-08,1.1280574369839997e-06
-0.00205604343414307,1.24429296387846e-06,1.64514024107206e-08,1.1648287516949994e-07,1.1278100887089602e-06
-0.00260195007324219,1.25933711572848e-06,1.64364882088671e-08,1.474106142631475e-07,1.1119265014653324e-06
-0.0032742126464843802,1.28900491640369e-06,1.61960810018325e-08,1.854969095717552e-07,1.103508006831935e-06
-0.004101045989990231,1.3115184696026e-06,1.63695154188831e-08,2.3234024154529093e-07,1.0791782280573092e-06
-0.00512784080505371,1.35372647790603e-06,1.61029999532759e-08,2.905121703487203e-07,1.0632143075573097e-06
-0.00643310928344727,1.40945470552115e-06,1.53882200588249e-08,3.6446071769289103e-07,1.044993987828259e-06
-0.008067148590087891,1.47222013702823e-06,1.54596220534014e-08,4.5703541403280845e-07,1.0151847229954216e-06
-0.0101096984863281,1.55372441752914e-06,1.58881172973407e-08,5.72753827681198e-07,9.80970589847942e-07
-0.0126822052001953,1.64868423862657e-06,1.68194156175699e-08,7.184963608631319e-07,9.301878777634381e-07
-0.015912255859375002,1.78267535300616e-06,1.52313070912546e-08,9.014913217070423e-07,8.811840312991177e-07
-0.0199151596069336,1.95214852835254e-06,1.52358329113284e-08,1.1282714226521014e-06,8.238771057004386e-07
-0.0249828903198242,2.16455830927242e-06,1.3972633891893e-08,1.415378121965731e-06,7.49180187306689e-07
-0.0312847351074219,2.422705493947e-06,1.4882132233831e-08,1.772402194289014e-06,6.503032996579857e-07
-0.0392243041992188,2.79240953633607e-06,1.290450544859e-08,2.22220973242833e-06,5.701998039077401e-07
-0.049152441406250004,3.23842117250053e-06,1.2059930739599e-08,2.7846774058966575e-06,4.537437666038724e-07
-0.0615708923339844,3.74964216897862e-06,7.24489164179871e-08,3.488231059089175e-06,2.6141110988944527e-07
-0.0771273864746094,4.54800940517893e-06,9.746354548986341e-09,4.369567092640782e-06,1.78442312538148e-07
-0.0966401733398438,5.46307811128567e-06,8.23236402231727e-09,5.475042530993802e-06,-1.1964419708132089e-08
-0.121090649414062,6.6388468404817e-06,6.9703334109842506e-09,6.860257310551722e-06,-2.2141047007002186e-07
-0.151726440429687,8.10972069327067e-06,5.3587220517389406e-09,8.59589429240335e-06,-4.861735991326802e-07
-0.19006870117187502,9.97672545188725e-06,7.79739136677736e-09,1.0768132824713424e-05,-7.914073728261746e-07
-0.23811953125000002,1.23207514307261e-05,1.30512200203699e-08,1.3490399654700836e-05,-1.1696482239747366e-06
-0.298355688476562,1.5259672879645e-05,2.1297736279194e-08,1.690301276704803e-05,-1.6433398874030305e-06
-0.373772998046875,1.89916631172549e-05,3.13457993408828e-08,2.1175697337040925e-05,-2.184034219786023e-06
-0.46828349609375003,2.36825134049646e-05,4.45435207653545e-08,2.653008546103975e-05,-2.8475720560751495e-06
-0.5866421875000001,2.95887559112013e-05,6.03326876653278e-08,3.3235566701053396e-05,-3.6468107898520953e-06
