Magnetic Field (T),Moment (emu),M. Std. Err. (emu),Moment (emu)_lin-part,Moment (emu)_y-lin-subtract
6.9999859375,-0.0004284939250903,8.7313852274617e-07,-0.0004299006979789391,1.4067728886391225e-06
6.99998125,-0.0004283849115463,8.71064457532464e-07,-0.00042990041009842916,1.5154985521291606e-06
5.587530859375001,-0.0003415780662196,1.11419048448536e-06,-0.00034315546314969643,1.5773969300964322e-06
4.4600453125,-0.0002724444754112,9.66864255001652e-07,-0.0002739114921059719,1.467016694771926e-06
3.5600796875,-0.000217031780903,6.25345531924626e-07,-0.0002186405453070803,1.6087644040802917e-06
2.841728125,-0.000172799770013,4.42763859431968e-07,-0.0001745233369483297,1.7235669353297066e-06
2.268308984375,-0.0001375750526139,3.20021543948488e-07,-0.0001393070820886504,1.7320294747504158e-06
1.8105941406250001,-0.0001093748916668,2.54176866444292e-07,-0.00011119674978793699,1.821858121136996e-06
1.4452660156250001,-8.68487043385587e-05,1.99151366714133e-07,-8.87603024391687e-05,1.9115981006100026e-06
1.15361455078125,-6.89324384702125e-05,1.64850184348979e-07,-7.08486709841365e-05,1.9162325139239944e-06
0.9208375976562501,-5.46249135927262e-05,1.35732302140136e-07,-5.655278874732331e-05,1.92787515459711e-06
0.7350306152343751,-4.31938360973448e-05,1.06575193066285e-07,-4.514154418973029e-05,1.947708092385494e-06
0.5867341796875001,-3.40982985844552e-05,8.80936684847161e-08,-3.603399144339446e-05,1.935692858939263e-06
0.46834609375,-2.68436186444266e-05,7.38375262676355e-08,-2.8763245297424526e-05,1.919626652997925e-06
0.37385517578125,-2.10787194237559e-05,6.16199123061052e-08,-2.296013198403634e-05,1.8814125602804409e-06
0.298408447265625,-1.64962647563053e-05,5.26103877658377e-08,-1.8326608211461657e-05,1.8303434551563554e-06
0.23819189453125,-1.28627268468063e-05,4.54819612384601e-08,-1.4628438203474638e-05,1.7657113566683378e-06
0.190158239746094,-9.99113112082058e-06,3.97808996674413e-08,-1.1678474888835054e-05,1.6873437680144744e-06
0.151777954101562,-7.72336030246933e-06,3.4305770795356e-08,-9.3213684982602e-06,1.5980081957908704e-06
0.12115811767578101,-5.95074597390754e-06,3.06536088701426e-08,-7.440866284544975e-06,1.4901203106374352e-06
0.0967235961914062,-4.56213069227525e-06,2.82306701754031e-08,-5.940232149747599e-06,1.3781014574723489e-06
0.0772218505859375,-3.50707080954009e-06,4.50686440494758e-08,-4.7425420225881535e-06,1.2354712130480636e-06
0.0616371398925781,-2.63526607173962e-06,2.4512155477056e-08,-3.785414670519806e-06,1.150148598780186e-06
0.0492162322998047,-1.99632251763258e-06,2.30779221268587e-08,-3.0225907318231166e-06,1.0262682141905366e-06
0.0392831878662109,-1.47572280346787e-06,2.24262131023523e-08,-2.4125576870163333e-06,9.368348835484632e-07
0.031364477539062505,-1.08264853051424e-06,2.16947052033933e-08,-1.9262339819218715e-06,8.435854514076315e-07
0.025031959533691403,-7.7699198255746e-07,2.13948178847958e-08,-1.5373254991363322e-06,7.603335165788722e-07
0.0199936737060547,-5.4724674764392e-07,1.98845972213611e-08,-1.2279016498232898e-06,6.806549021793698e-07
0.0159772720336914,-3.61343276672905e-07,1.92400874194754e-08,-9.812363139598547e-07,6.198930372869497e-07
0.012730049133300801,-2.13663101029852e-07,1.93516551478141e-08,-7.818097145587592e-07,5.681466135289072e-07
0.0101857566833496,-1.13308363888333e-07,1.92892674495771e-08,-6.255532434940177e-07,5.122448796056847e-07
0.00815056838989258,-2.42043000802287e-08,1.89726162059533e-08,-5.005631541298933e-07,4.7635885404966465e-07
0.00651039505004883,4.84962181688379e-08,1.88347848894914e-08,-3.9983271411173783e-07,4.4832893228057573e-07
0.00520512657165527,9.76785856813641e-08,1.88903699617407e-08,-3.1967029165525706e-07,4.173488773366212e-07
0.0041501163482666,1.3281243491456e-07,1.87443023518787e-08,-2.548773570037786e-07,3.8768979191833865e-07
0.0033294166564941403,1.68408606858766e-07,1.82929863621318e-08,-2.0447448855886173e-07,3.7288309541762773e-07
0.00265838088989258,2.03365144694068e-07,1.8028340111267e-08,-1.6326315656383323e-07,3.6662830125790123e-07
0.0021296487808227503,2.20333777845961e-07,1.78690682512632e-08,-1.307913337969755e-07,3.511251116429365e-07
0.0016978305816650401,2.35743587645186e-07,1.8302254059361e-08,-1.0427143120354147e-07,3.4001501884872747e-07
0.00136660642623901,2.47269930481514e-07,1.79959326792888e-08,-8.392946239438842e-08,3.3119939287590244e-07
0.00111512136459351,2.60215869698642e-07,1.82327720889725e-08,-6.848463086215693e-08,3.2870050056079895e-07
0.000889398288726807,2.73283963056426e-07,1.783401633149e-08,-5.462195903231818e-08,3.279059220887442e-07
0.000711518621444702,2.78490955327802e-07,1.76291572577208e-08,-4.369756664016012e-08,3.221885219679621e-07
0.0005778021812438961,2.80596022385643e-07,1.83403449876383e-08,-3.548543714635204e-08,3.1608145953199504e-07
0.000455126571655273,2.87356213059798e-07,1.78777685392805e-08,-2.795137484136746e-08,3.1530758790116546e-07
0.000371707153320313,2.94308489345119e-07,1.79073761142974e-08,-2.2828212239700248e-08,3.171367015848192e-07
0.00029442150592804003,2.96614070871563e-07,1.78321238057517e-08,-1.8081752167587804e-08,3.1469582303915084e-07
0.00026252582073211703,2.96657648896178e-07,1.84313465061213e-08,-1.6122894328347492e-08,3.127805432245255e-07
0.00021590909957885704,3.00486944662741e-07,1.80956690520553e-08,-1.3259951296717147e-08,3.137468959594582e-07
0.000186466932296753,2.99649868113014e-07,1.83284695683064e-08,-1.1451775054993202e-08,3.111016431680072e-07
-8.58729302883148e-05,3.1140937541084e-07,1.80707626572499e-08,5.273843833124603e-09,3.061355315777154e-07
-0.000103047525882721,3.11379785342805e-07,1.78219317125537e-08,6.328613185443925e-09,3.050511721573611e-07
-0.000144757235050201,3.13680104119917e-07,1.80741240580877e-08,8.890194486277533e-09,3.0478990963363947e-07
-0.000180333161354065,3.1632192536286e-07,1.79455395405982e-08,1.107507252543837e-08,3.052468528374216e-07
-0.00022940340042114298,3.17828670958751e-07,1.73642293100211e-08,1.4088697154585024e-08,3.03739973804166e-07
